                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97375,                  1.443,                 1.1805,                0.87681,                   0.77,                0.85525,                0.67759,                0.80059,                0.63914,                 1.0291,              0.0033287,              0.0033287,              0.0033287
                      2,                0.97762,                0.90477,                 1.1678,                 0.8092,                0.72945,                0.78317,                0.58051,                0.94514,                0.90709,                 1.1032,              0.0066311,              0.0066311,              0.0066311
                      3,                 1.0561,                0.98171,                 1.2107,                0.82386,                  0.754,                0.82546,                0.60315,                0.99106,                0.86995,                 1.1514,              0.0099037,              0.0099037,              0.0099037
                      4,                 1.1243,                 1.0699,                 1.2616,                0.86646,                0.79158,                0.85126,                0.63199,                 0.9427,                0.77745,                 1.1387,              0.0098625,              0.0098625,              0.0098625
                      5,                 1.0442,                0.95733,                 1.2161,                0.86835,                0.79148,                0.86883,                0.67252,                 0.8301,                 0.6756,                 1.0701,              0.0098175,              0.0098175,              0.0098175
                      6,                0.98042,                0.89047,                 1.1822,                0.85938,                0.84337,                0.89417,                 0.6967,                0.83644,                0.63891,                 1.0894,              0.0097729,              0.0097729,              0.0097729
                      7,                0.94396,                0.84233,                 1.1623,                0.90812,                   0.86,                0.91876,                0.74686,                0.71941,                0.53779,                0.99083,              0.0097288,              0.0097288,              0.0097288
                      8,                0.91339,                0.81006,                  1.147,                0.92076,                  0.866,                0.92739,                0.75513,                0.69981,                0.53079,                0.99041,               0.009685,               0.009685,               0.009685
                      9,                0.87992,                0.78102,                 1.1273,                0.94863,                0.84947,                0.92926,                0.76458,                0.66633,                0.49726,                0.97528,                0.00964,                0.00964,                0.00964
                     10,                0.86727,                0.76707,                 1.1226,                0.93141,                0.86909,                0.93546,                 0.7746,                0.66328,                0.51688,                0.97415,              0.0095968,              0.0095968,              0.0095968
                     11,                0.84759,                0.74124,                 1.1079,                0.90765,                  0.894,                0.94369,                0.78188,                0.64714,                 0.4791,                0.94929,               0.009552,               0.009552,               0.009552
                     12,                0.83188,                0.72245,                 1.0985,                0.94186,                0.87478,                0.94392,                0.79972,                0.60533,                0.46547,                0.94563,               0.009505,               0.009505,               0.009505
                     13,                0.81468,                0.71178,                 1.0899,                0.92977,                0.90021,                0.94889,                0.80698,                0.59574,                0.44667,                0.92373,                0.00946,                0.00946,                0.00946
                     14,                0.80017,                0.69174,                  1.081,                0.94889,                  0.892,                0.95451,                0.81477,                0.57488,                0.42799,                0.91995,               0.009415,               0.009415,               0.009415
                     15,                0.78877,                0.68554,                 1.0775,                0.94378,                0.90659,                0.95906,                 0.8259,                0.55435,                0.41252,                0.90394,              0.0093729,              0.0093729,              0.0093729
                     16,                0.78834,                0.67887,                 1.0725,                 0.9425,                  0.908,                 0.9565,                0.82284,                0.54962,                0.40139,                0.90942,              0.0093281,              0.0093281,              0.0093281
                     17,                  0.772,                0.66839,                  1.066,                0.96638,                  0.894,                0.95869,                0.83668,                0.53234,                0.39378,                0.89217,              0.0092833,              0.0092833,              0.0092833
                     18,                  0.777,                0.66303,                 1.0713,                0.97373,                 0.8897,                0.96284,                0.84202,                0.51848,                0.38329,                 0.8948,              0.0092419,              0.0092419,              0.0092419
                     19,                0.76722,                0.66251,                 1.0608,                0.96401,                  0.918,                0.96925,                0.84771,                 0.5137,                0.36763,                0.88832,              0.0091973,              0.0091973,              0.0091973
                     20,                  0.759,                 0.6496,                 1.0587,                0.95033,                0.91837,                0.97086,                0.84681,                0.50645,                0.35862,                0.88136,              0.0091527,              0.0091527,              0.0091527
                     21,                0.75146,                0.64309,                 1.0508,                0.96978,                  0.902,                0.96584,                0.85379,                0.48181,                0.35881,                0.87467,              0.0091081,              0.0091081,              0.0091081
                     22,                0.74443,                0.63781,                 1.0488,                0.96101,                  0.918,                0.96967,                0.85477,                0.48954,                0.34951,                  0.876,              0.0090635,              0.0090635,              0.0090635
                     23,                0.74415,                0.63767,                 1.0511,                 0.9751,                  0.916,                0.96791,                0.86206,                0.47407,                0.33326,                 0.8656,              0.0090189,              0.0090189,              0.0090189
                     24,                0.73608,                 0.6272,                 1.0491,                0.97838,                  0.914,                0.97464,                0.85883,                0.47487,                0.32743,                0.86393,              0.0089743,              0.0089743,              0.0089743
                     25,                0.73401,                0.62946,                 1.0457,                0.97241,                0.91646,                0.97319,                0.86507,                0.46098,                0.32753,                0.86064,              0.0089345,              0.0089345,              0.0089345
                     26,                0.73069,                0.62007,                 1.0411,                0.95507,                  0.936,                0.97332,                0.86521,                 0.4686,                0.33025,                0.86566,              0.0088901,              0.0088901,              0.0088901
                     27,                0.72327,                 0.6164,                 1.0388,                0.96445,                0.92228,                  0.973,                0.87004,                0.45897,                0.32192,                0.86191,              0.0088457,              0.0088457,              0.0088457
                     28,                0.71949,                0.61323,                 1.0359,                0.97007,                  0.926,                 0.9721,                 0.8688,                0.45515,                0.32634,                0.85961,              0.0088013,              0.0088013,              0.0088013
                     29,                0.71095,                0.60034,                 1.0297,                0.95917,                   0.94,                0.97909,                0.87409,                0.45353,                0.31474,                0.85745,               0.008757,               0.008757,               0.008757
                     30,                0.70996,                0.60196,                 1.0333,                0.96875,                0.92988,                0.97707,                0.87003,                 0.4463,                0.31136,                0.85176,              0.0087126,              0.0087126,              0.0087126
                     31,                0.70717,                 0.5986,                 1.0285,                 0.9628,                 0.9317,                0.97454,                0.87156,                0.44368,                0.30412,                0.84694,              0.0086682,              0.0086682,              0.0086682
                     32,                0.69752,                0.59359,                 1.0237,                0.97467,                0.92366,                0.97656,                0.87648,                0.43298,                0.29967,                0.84254,              0.0086238,              0.0086238,              0.0086238
                     33,                0.70307,                0.59758,                 1.0253,                0.97881,                0.92383,                0.97641,                0.87917,                0.43482,                0.29833,                0.84415,              0.0085794,              0.0085794,              0.0085794
                     34,                0.69607,                0.58648,                 1.0253,                0.96497,                0.93668,                0.97785,                0.87822,                0.43136,                0.29258,                0.83879,               0.008535,               0.008535,               0.008535
                     35,                0.69734,                0.58622,                 1.0269,                0.97881,                0.92368,                0.97625,                0.87841,                 0.4261,                0.29365,                0.83825,              0.0084906,              0.0084906,              0.0084906
                     36,                0.69518,                0.58787,                 1.0239,                0.96491,                0.93497,                0.97923,                0.88057,                0.42343,                0.29441,                0.83523,              0.0084462,              0.0084462,              0.0084462
                     37,                0.68894,                0.58336,                 1.0199,                0.98085,                0.92218,                 0.9795,                0.88162,                0.42022,                0.29406,                0.83371,              0.0084018,              0.0084018,              0.0084018
