                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70294,                0.63004,                   1.07,                0.93587,                0.90474,                0.96157,                0.82017,                0.56134,                0.39982,                0.88895,              0.0033251,              0.0033251,              0.0033251
                      2,                0.68947,                0.61567,                 1.0595,                0.95204,                  0.876,                 0.9562,                0.82058,                0.57917,                0.41813,                0.88853,              0.0066364,              0.0066364,              0.0066364
                      3,                0.73024,                0.64194,                  1.077,                0.92328,                0.86649,                0.92062,                0.75808,                 0.6777,                 0.5487,                 0.9472,              0.0099258,              0.0099258,              0.0099258
                      4,                0.78331,                0.70474,                 1.1067,                0.91977,                  0.866,                0.92533,                0.75611,                0.67977,                 0.5106,                 0.9658,               0.009901,               0.009901,               0.009901
                      5,                0.78299,                0.69959,                  1.103,                0.89888,                  0.792,                0.87497,                 0.7044,                0.75609,                0.65609,                 1.0057,               0.009868,               0.009868,               0.009868
                      6,                0.77061,                0.69667,                 1.0983,                0.93732,                0.86732,                0.93916,                0.78036,                0.65695,                0.47352,                0.93527,               0.009835,               0.009835,               0.009835
                      7,                0.77217,                0.68987,                 1.0982,                0.94618,                0.87894,                0.94458,                0.79062,                0.64151,                0.47874,                0.93654,               0.009802,               0.009802,               0.009802
                      8,                0.76207,                0.68474,                 1.0937,                 0.9173,                  0.854,                0.92237,                0.77792,                0.64377,                 0.5084,                0.93843,               0.009769,               0.009769,               0.009769
                      9,                0.75907,                0.67775,                 1.0901,                0.92203,                0.85149,                0.92497,                0.77238,                0.63263,                0.51845,                0.92694,               0.009736,               0.009736,               0.009736
                     10,                0.75402,                0.67035,                 1.0858,                0.91723,                  0.904,                 0.9499,                 0.8037,                0.60456,                0.43927,                0.90837,               0.009703,               0.009703,               0.009703
                     11,                0.74692,                0.65951,                 1.0837,                0.90435,                0.86988,                0.92591,                0.77732,                0.63404,                0.47862,                0.92454,                0.00967,                0.00967,                0.00967
                     12,                0.74357,                0.65916,                 1.0804,                0.93817,                0.88003,                0.94703,                0.80893,                0.58334,                0.44011,                0.91299,               0.009637,               0.009637,               0.009637
                     13,                0.73617,                0.65361,                 1.0782,                 0.9188,                  0.892,                0.94854,                0.80753,                0.58615,                 0.4446,                0.89898,               0.009604,               0.009604,               0.009604
                     14,                0.73795,                0.65121,                 1.0765,                0.90413,                0.88647,                 0.9366,                0.79572,                0.61257,                0.46001,                0.91743,               0.009571,               0.009571,               0.009571
                     15,                0.73226,                0.65173,                 1.0738,                0.93693,                0.89137,                0.95747,                0.82378,                0.56689,                 0.4095,                0.89742,               0.009538,               0.009538,               0.009538
                     16,                0.73328,                0.65431,                 1.0766,                0.90837,                  0.904,                0.95083,                0.81732,                0.56856,                0.42872,                0.89629,               0.009505,               0.009505,               0.009505
                     17,                0.72759,                0.64347,                 1.0734,                0.88456,                0.87354,                0.93457,                0.80631,                0.55736,                 0.4556,                0.89929,               0.009472,               0.009472,               0.009472
                     18,                0.72407,                0.64012,                 1.0699,                0.94874,                0.88848,                0.95942,                0.82208,                0.55865,                0.40201,                0.88337,               0.009439,               0.009439,               0.009439
                     19,                0.72148,                0.63634,                  1.071,                0.94771,                   0.91,                0.96411,                 0.8302,                0.54228,                0.37845,                0.88096,               0.009406,               0.009406,               0.009406
                     20,                0.72002,                0.63621,                 1.0683,                0.95571,                0.90627,                0.96884,                0.83897,                0.52646,                0.37672,                0.87149,               0.009373,               0.009373,               0.009373
                     21,                0.71984,                0.63805,                 1.0672,                0.94236,                0.91558,                 0.9651,                0.84465,                0.50748,                0.36291,                0.86715,                0.00934,                0.00934,                0.00934
                     22,                0.71995,                0.63648,                 1.0669,                0.93811,                  0.914,                  0.969,                0.85126,                0.49229,                0.35363,                0.85037,               0.009307,               0.009307,               0.009307
                     23,                0.71012,                 0.6257,                 1.0605,                0.94641,                0.91824,                0.97177,                0.84436,                0.51228,                 0.3516,                 0.8639,               0.009274,               0.009274,               0.009274
                     24,                0.71084,                0.63101,                 1.0619,                0.97398,                0.89845,                0.97002,                 0.8526,                0.49346,                0.34244,                 0.8606,               0.009241,               0.009241,               0.009241
                     25,                0.70719,                0.62602,                 1.0622,                0.96813,                  0.904,                0.96996,                0.85519,                0.48244,                0.33684,                 0.8493,               0.009208,               0.009208,               0.009208
                     26,                0.71417,                0.63329,                 1.0616,                0.96394,                0.90883,                0.97201,                0.85915,                0.49501,                0.34212,                 0.8512,               0.009175,               0.009175,               0.009175
                     27,                0.70651,                0.62622,                 1.0604,                0.96403,                  0.908,                0.97049,                0.85496,                 0.4927,                0.33649,                0.84697,               0.009142,               0.009142,               0.009142
                     28,                0.70247,                0.62218,                 1.0549,                0.97018,                0.91085,                0.97296,                0.86186,                0.47875,                0.33088,                0.84419,               0.009109,               0.009109,               0.009109
                     29,                0.69772,                0.61885,                 1.0555,                0.96028,                0.91864,                0.97566,                0.86487,                0.47033,                  0.323,                0.84435,               0.009076,               0.009076,               0.009076
                     30,                0.70203,                0.61969,                  1.056,                0.96414,                0.91402,                0.97193,                0.86496,                0.46488,                0.32201,                0.84082,               0.009043,               0.009043,               0.009043
                     31,                0.69641,                0.61347,                 1.0508,                0.96613,                0.91291,                 0.9779,                0.86778,                0.46789,                0.32069,                0.84062,                0.00901,                0.00901,                0.00901
                     32,                0.69022,                0.60782,                 1.0468,                0.95075,                  0.924,                0.97336,                0.86439,                0.46738,                0.32061,                0.83831,               0.008977,               0.008977,               0.008977
                     33,                0.69469,                0.60608,                 1.0495,                0.95839,                0.92136,                 0.9757,                0.86493,                0.46143,                0.32128,                 0.8343,               0.008944,               0.008944,               0.008944
                     34,                0.68981,                 0.6102,                 1.0506,                0.97405,                0.90071,                0.97694,                0.86691,                0.46102,                0.31822,                 0.8364,               0.008911,               0.008911,               0.008911
                     35,                0.69339,                0.61087,                  1.051,                0.97336,                  0.902,                0.97547,                0.86776,                0.45415,                0.31561,                0.83286,               0.008878,               0.008878,               0.008878
                     36,                 0.6893,                 0.6049,                 1.0475,                0.95076,                0.92688,                0.97557,                0.86762,                0.45203,                0.31287,                0.83024,               0.008845,               0.008845,               0.008845
                     37,                0.68294,                0.60246,                 1.0429,                0.93904,                  0.942,                0.97587,                0.86495,                0.45256,                0.31246,                0.83131,               0.008812,               0.008812,               0.008812
                     38,                0.68414,                0.60343,                 1.0441,                0.94721,                  0.934,                0.97789,                0.86733,                0.45449,                0.31231,                0.83277,               0.008779,               0.008779,               0.008779
                     39,                0.68808,                0.60345,                 1.0467,                 0.9721,                0.90601,                0.97777,                 0.8671,                0.45178,                0.31129,                0.83249,               0.008746,               0.008746,               0.008746
                     40,                0.67688,                 0.5985,                 1.0409,                0.96092,                  0.922,                 0.9773,                0.86849,                0.45086,                0.30904,                0.83262,               0.008713,               0.008713,               0.008713
                     41,                0.67764,                0.59655,                 1.0407,                0.95892,                  0.918,                 0.9772,                0.86688,                0.45202,                0.30763,                0.83192,                0.00868,                0.00868,                0.00868
                     42,                0.67418,                0.59428,                 1.0389,                0.96033,                0.91996,                0.97661,                0.86791,                0.45006,                0.30727,                0.83078,               0.008647,               0.008647,               0.008647
                     43,                0.67821,                 0.5994,                 1.0442,                 0.9603,                0.91929,                0.97667,                0.86829,                0.44955,                0.30445,                0.83001,               0.008614,               0.008614,               0.008614
                     44,                0.67688,                0.59797,                 1.0426,                0.95533,                  0.924,                0.97671,                0.86945,                0.44639,                0.30191,                0.82741,               0.008581,               0.008581,               0.008581
                     45,                0.67816,                  0.594,                 1.0399,                0.95682,                  0.928,                0.97673,                0.87249,                 0.4451,                0.30047,                0.82648,               0.008548,               0.008548,               0.008548
                     46,                0.67972,                0.59402,                 1.0399,                0.96004,                  0.926,                0.97516,                0.87107,                0.44412,                0.29982,                0.82671,               0.008515,               0.008515,               0.008515
                     47,                0.67505,                 0.5855,                 1.0376,                0.96053,                0.92478,                0.97714,                0.87245,                0.44367,                0.29902,                0.82647,               0.008482,               0.008482,               0.008482
                     48,                0.67147,                 0.5868,                 1.0379,                0.96402,                  0.924,                0.97735,                0.87242,                0.44405,                0.29709,                0.82616,               0.008449,               0.008449,               0.008449
                     49,                0.67098,                0.58823,                 1.0386,                0.95904,                  0.926,                0.97534,                0.87406,                0.44274,                0.29728,                 0.8254,               0.008416,               0.008416,               0.008416
                     50,                0.66794,                 0.5887,                 1.0345,                0.96479,                  0.918,                 0.9751,                0.87346,                 0.4425,                0.29753,                0.82548,               0.008383,               0.008383,               0.008383
                     51,                0.67214,                0.58676,                 1.0356,                0.95869,                  0.924,                 0.9752,                0.87421,                0.44136,                0.29547,                0.82486,                0.00835,                0.00835,                0.00835
                     52,                0.66323,                0.57914,                 1.0316,                0.95498,                0.93336,                0.97576,                0.87321,                0.44099,                  0.295,                0.82446,               0.008317,               0.008317,               0.008317
                     53,                0.66643,                0.58634,                 1.0368,                0.95856,                0.92535,                0.97571,                0.87481,                0.44083,                0.29362,                0.82397,               0.008284,               0.008284,               0.008284
                     54,                0.66424,                 0.5836,                 1.0331,                0.95723,                  0.924,                0.97561,                 0.8753,                0.44022,                0.29307,                0.82391,               0.008251,               0.008251,               0.008251
                     55,                0.66563,                  0.587,                 1.0348,                0.96056,                0.92541,                0.97605,                0.87474,                0.44023,                0.29323,                0.82395,               0.008218,               0.008218,               0.008218
                     56,                0.66646,                0.57745,                 1.0321,                0.96062,                0.92705,                0.97628,                0.87505,                0.44007,                 0.2927,                0.82375,               0.008185,               0.008185,               0.008185
                     57,                0.66182,                0.58183,                 1.0299,                0.96058,                0.92592,                0.97603,                0.87432,                0.43845,                0.29252,                0.82302,               0.008152,               0.008152,               0.008152
                     58,                0.66261,                0.58078,                 1.0321,                0.95865,                0.92726,                0.97603,                 0.8751,                0.43829,                0.29241,                0.82232,               0.008119,               0.008119,               0.008119
                     59,                0.65632,                0.57407,                 1.0288,                0.95866,                0.92765,                0.97611,                0.87466,                0.43741,                0.29128,                0.82145,               0.008086,               0.008086,               0.008086
                     60,                0.65783,                0.57672,                 1.0279,                0.95668,                  0.926,                0.97644,                0.87509,                0.43608,                0.29199,                0.82055,               0.008053,               0.008053,               0.008053
                     61,                0.66205,                0.57309,                 1.0312,                0.94617,                  0.936,                0.97678,                0.87516,                0.43544,                0.29138,                0.82015,                0.00802,                0.00802,                0.00802
                     62,                0.65572,                0.57643,                 1.0294,                0.95568,                   0.93,                0.97731,                0.87672,                0.43467,                0.29039,                0.82012,               0.007987,               0.007987,               0.007987
                     63,                0.65866,                0.57406,                 1.0279,                 0.9526,                  0.936,                0.97787,                0.87784,                0.43346,                0.28973,                0.81999,               0.007954,               0.007954,               0.007954
                     64,                0.65727,                0.57216,                 1.0274,                 0.9848,                0.90727,                0.97774,                0.87733,                0.43318,                0.28973,                0.81964,               0.007921,               0.007921,               0.007921
                     65,                0.65785,                0.57451,                 1.0271,                 0.9848,                0.90725,                0.97773,                0.87902,                0.43269,                0.28941,                0.81918,               0.007888,               0.007888,               0.007888
                     66,                0.65658,                0.57054,                 1.0256,                0.98481,                 0.9076,                0.97798,                0.87945,                0.43161,                0.28803,                0.81871,               0.007855,               0.007855,               0.007855
                     67,                0.65525,                0.56715,                  1.029,                0.98481,                 0.9077,                0.97865,                0.87896,                0.43054,                0.28612,                0.81875,               0.007822,               0.007822,               0.007822
                     68,                0.65553,                0.57464,                  1.027,                0.98267,                0.90732,                0.97975,                0.88043,                0.42971,                0.28513,                0.81791,               0.007789,               0.007789,               0.007789
                     69,                0.64864,                0.56436,                 1.0236,                0.98268,                0.90766,                0.97924,                0.88004,                0.43012,                0.28528,                0.81794,               0.007756,               0.007756,               0.007756
                     70,                0.65085,                0.55995,                 1.0227,                0.98346,                  0.908,                0.97939,                0.88117,                0.42786,                0.28422,                0.81697,               0.007723,               0.007723,               0.007723
                     71,                0.65297,                0.56654,                 1.0258,                0.98488,                  0.908,                0.98006,                0.88201,                0.42893,                0.28417,                0.81739,                0.00769,                0.00769,                0.00769
                     72,                0.65414,                0.56995,                 1.0269,                0.98456,                  0.908,                0.97994,                0.88082,                0.42856,                0.28441,                 0.8169,               0.007657,               0.007657,               0.007657
                     73,                0.64521,                0.56101,                 1.0239,                0.98492,                  0.908,                 0.9795,                0.87999,                0.42836,                0.28423,                0.81679,               0.007624,               0.007624,               0.007624
                     74,                0.64349,                0.56065,                 1.0202,                0.95942,                   0.93,                0.97931,                0.87995,                0.42771,                0.28458,                0.81636,               0.007591,               0.007591,               0.007591
                     75,                0.64943,                0.56676,                 1.0223,                 0.9611,                   0.93,                0.97824,                0.88053,                0.42686,                0.28418,                0.81606,               0.007558,               0.007558,               0.007558
                     76,                0.64395,                0.55624,                 1.0197,                0.96089,                   0.93,                0.98063,                 0.8819,                0.42577,                0.28329,                0.81546,               0.007525,               0.007525,               0.007525
                     77,                0.64679,                0.56385,                 1.0236,                0.96078,                  0.928,                0.98043,                0.88183,                0.42571,                0.28142,                0.81519,               0.007492,               0.007492,               0.007492
                     78,                0.64949,                0.56449,                 1.0268,                0.96148,                  0.928,                0.98028,                0.88054,                0.42487,                0.28028,                0.81492,               0.007459,               0.007459,               0.007459
                     79,                0.64519,                0.55922,                 1.0194,                0.96472,                0.92972,                 0.9804,                0.88142,                0.42387,                0.27941,                0.81361,               0.007426,               0.007426,               0.007426
                     80,                0.64147,                 0.5522,                 1.0202,                 0.9647,                0.92925,                0.98068,                0.88195,                0.42306,                 0.2791,                0.81287,               0.007393,               0.007393,               0.007393
                     81,                0.64338,                0.56081,                 1.0245,                0.96477,                0.93108,                0.98058,                0.88224,                0.42275,                0.27813,                0.81257,                0.00736,                0.00736,                0.00736
                     82,                0.64137,                0.55746,                 1.0199,                0.96396,                  0.932,                0.98075,                0.88335,                0.42214,                0.27717,                0.81209,               0.007327,               0.007327,               0.007327
                     83,                0.63928,                 0.5543,                  1.017,                0.96813,                  0.932,                0.98105,                0.88367,                0.42122,                0.27632,                0.81206,               0.007294,               0.007294,               0.007294
                     84,                0.64098,                0.55437,                 1.0192,                 0.9688,                0.93165,                0.98095,                0.88395,                0.42134,                0.27596,                0.81158,               0.007261,               0.007261,               0.007261
