                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54645,                0.46763,                 0.9811,                0.98096,                0.92715,                 0.9783,                0.88543,                0.42443,                0.27417,                0.80744,              0.0033251,              0.0033251,              0.0033251
                      2,                0.56305,                0.48073,                0.98461,                0.95957,                  0.934,                0.97886,                0.87173,                0.45817,                0.31404,                0.82099,              0.0066364,              0.0066364,              0.0066364
                      3,                 0.6113,                0.52295,                 1.0036,                0.93666,                  0.896,                0.95297,                0.81913,                0.58194,                0.43161,                0.88624,              0.0099258,              0.0099258,              0.0099258
                      4,                 0.6698,                 0.5843,                 1.0373,                0.93157,                0.89853,                0.95638,                0.81553,                0.56617,                0.42091,                0.88337,               0.009901,               0.009901,               0.009901
                      5,                0.68027,                0.59572,                 1.0397,                0.94878,                0.88918,                0.95081,                0.80616,                0.58842,                0.43124,                0.90628,               0.009868,               0.009868,               0.009868
                      6,                0.67809,                0.59775,                   1.04,                0.95033,                0.91832,                0.96204,                0.82849,                0.57088,                0.40135,                0.86823,               0.009835,               0.009835,               0.009835
                      7,                0.67996,                0.59751,                 1.0399,                0.94188,                0.87509,                0.94807,                0.80373,                0.58815,                0.44797,                0.89208,               0.009802,               0.009802,               0.009802
                      8,                0.67791,                0.59715,                 1.0411,                0.94715,                0.89613,                0.96071,                0.83788,                0.53452,                0.40498,                0.86362,               0.009769,               0.009769,               0.009769
                      9,                0.68445,                0.60136,                 1.0434,                0.92758,                   0.85,                0.91925,                0.76339,                0.64531,                0.50549,                0.94839,               0.009736,               0.009736,               0.009736
                     10,                0.67984,                0.59495,                 1.0384,                0.93869,                  0.902,                0.95468,                0.81921,                0.55411,                0.41953,                0.88467,               0.009703,               0.009703,               0.009703
                     11,                0.67599,                0.58965,                 1.0395,                0.92647,                   0.88,                0.95222,                0.82128,                0.54557,                0.40977,                0.87019,                0.00967,                0.00967,                0.00967
                     12,                0.67928,                0.58999,                 1.0406,                 0.9441,                0.91209,                0.96374,                0.82322,                0.56304,                0.40214,                 0.8741,               0.009637,               0.009637,               0.009637
                     13,                0.67435,                0.59119,                 1.0397,                0.96141,                0.89684,                0.95775,                0.84066,                 0.5127,                0.37583,                0.85284,               0.009604,               0.009604,               0.009604
                     14,                0.67887,                0.58973,                 1.0368,                0.94285,                  0.876,                0.95563,                0.81857,                0.56357,                0.40923,                0.87978,               0.009571,               0.009571,               0.009571
                     15,                0.67373,                0.59026,                 1.0369,                0.95307,                  0.894,                0.95431,                0.83688,                  0.507,                0.37817,                 0.8532,               0.009538,               0.009538,               0.009538
                     16,                0.67858,                0.59325,                 1.0397,                0.97106,                  0.884,                0.96982,                0.85107,                0.50185,                0.36036,                0.84839,               0.009505,               0.009505,               0.009505
                     17,                0.66791,                0.57905,                  1.032,                0.97346,                  0.898,                0.96669,                0.84477,                0.51273,                0.35602,                0.84305,               0.009472,               0.009472,               0.009472
                     18,                0.66704,                0.57918,                 1.0315,                0.96624,                  0.912,                0.97368,                 0.8588,                 0.4881,                0.34209,                0.83817,               0.009439,               0.009439,               0.009439
                     19,                0.66639,                0.57986,                  1.034,                0.97685,                   0.91,                0.97243,                0.85631,                0.49594,                0.33193,                0.84436,               0.009406,               0.009406,               0.009406
                     20,                0.66722,                0.58148,                 1.0325,                0.96412,                  0.924,                0.97567,                0.86851,                0.46244,                0.32833,                0.82777,               0.009373,               0.009373,               0.009373
